Started phase 0, duration: 60s @ 10:39:14(-0800) 2019-03-08
house 7782371 '85444 Prosacco Radial' sold for 29457775
house 7555093 '271 Benedict Junctions' sold for 8960640
house 8059280 '7585 Lind Ridge' sold for 5189024
house 8740550 '231 Courtney Road' sold for 14324041
house 8480689 '088 Tierra Row' sold for 26779948
house 8564448 '273 Stoltenberg Bridge' sold for 18167712
house 9414920 '942 Loyce Bypass' sold for 29975514
house 8524043 '43677 Stracke Summit' sold for 2781919
house 9592275 '8522 Beier Land' sold for 5363930
house 7592508 '182 Bahringer Expressway' sold for 28421086
house 7508305 '662 Deckow Gardens' sold for 9296703
house 8632981 '634 Kyla Camp' sold for 17904598
house 7947246 '849 Homenick Wells' sold for 29710825
house 8063121 '1201 Rhoda Forks' sold for 17859101
house 7601600 '12055 McCullough Ranch' sold for 1093395
house 9154501 '52541 Blick Estates' sold for 6858295
house 9172331 '800 Rosalyn Avenue' sold for 5224669
house 7992325 '980 Merle Mountains' sold for 4239080
house 7489562 '452 Maida Shoals' sold for 1875910
house 9015878 '71440 Schoen Extensions' sold for 28476195
house 8726332 '721 Hessel Gardens' sold for 16841195
house 8060413 '1539 Ryley Shores' sold for 2022782
house 7740530 '511 Heber Grove' sold for 10638699
house 8991229 '522 Colby Run' sold for 23145375
house 8599984 '850 Mario Grove' sold for 11281534
house 7836597 '6306 Mose Inlet' sold for 13359283
house 7636324 '569 Benjamin Mall' sold for 28746626
house 8819307 '05106 Estell Curve' sold for 12341376
house 8840719 '331 Kulas Square' sold for 9589852
house 7576384 '4148 Lesley Drive' sold for 22456072
house 9586979 '6450 Moen Mount' sold for 4793633
house 9361216 '8276 Tremblay Hills' sold for 14310706
house 7572187 '16934 Hortense Stravenue' sold for 18026855
house 8407705 '4674 Kuphal Ways' sold for 14279307
house 8147713 '194 Auer Stravenue' sold for 1420369
house 8147542 '8696 Clementina Dam' sold for 22471344
house 8712918 '8156 Ullrich Stravenue' sold for 14034272
house 7511464 '0786 Durgan Manor' sold for 4812484
house 7888062 '767 Derrick Keys' sold for 17041400
house 7879002 '483 Grant Overpass' sold for 17028412
house 8203566 '9859 Bogan Trail' sold for 9969226
house 8084354 '02109 Corwin Roads' sold for 19733262
house 9938887 '8320 Leone Plains' sold for 15100351
house 7511782 '94478 Lavinia Neck' sold for 3309052
house 7728105 '48628 Elbert Street' sold for 28224245
house 9634453 '492 Lindsay Wall' sold for 23455626
house 9010689 '648 Jade Passage' sold for 28601519
house 9308588 '46925 Olson Stream' sold for 21413111
house 8190744 '486 Marguerite Forges' sold for 8314267
house 7938486 '7692 Urban Run' sold for 29909704
house 9768977 '7464 Margarette View' sold for 8057081
house 9970564 '01408 Marilie Camp' sold for 8408953
house 7677469 '2235 Curt Parkway' sold for 11933930
house 7654683 '201 Daniel Tunnel' sold for 29868713
house 9085924 '79610 Schuster Burgs' sold for 28564900
house 8592753 '942 Hanna Ports' sold for 14984856
house 8062054 '86425 Deon Tunnel' sold for 16388580
house 8659740 '52783 Sammy Stream' sold for 13071856
house 9159613 '19273 Juana Estate' sold for 22469706
house 8910669 '24645 Reilly Cliff' sold for 25182302
house 9198560 '5498 Isabel Mission' sold for 24667232
house 9824019 '277 Marc Walk' sold for 7025537
house 9587457 '498 Hodkiewicz Isle' sold for 20211417
house 9431963 '994 Blanda Fords' sold for 24136224
house 8783829 '052 Emie Highway' sold for 27751104
house 9297062 '666 Clifton Centers' sold for 24247669
house 7846462 '354 Kris Lakes' sold for 28214924
house 9905654 '25331 Reta Spurs' sold for 16728909
house 8887155 '84139 Schinner Fort' sold for 17189404
house 8852360 '186 Paolo Port' sold for 14193929
house 9155478 '42981 Rogahn Springs' sold for 6606278
house 9367917 '624 Cartwright Ferry' sold for 7638672
house 8602329 '41742 Giuseppe Common' sold for 29140476
house 8149631 '470 Lon Turnpike' sold for 25860822
house 8789599 '099 Haley Station' sold for 3675727
house 8702673 '92121 Gerhold Plaza' sold for 7288034
house 8996653 '94307 Stamm Green' sold for 2893955
house 9657321 '5099 Marquise Villages' sold for 2222867
house 9984034 '6569 Kshlerin Lights' sold for 1644582
house 9813954 '934 Santina Mountains' sold for 11859322
house 9210966 '23827 Walsh Wells' sold for 9023405
house 9660251 '8036 Flatley Spurs' sold for 23374912
house 8402822 '6506 Dillon Point' sold for 25972719
house 8568752 '19836 Konopelski Plaza' sold for 10773825
house 8086213 '70691 Shyanne Villages' sold for 20946250
house 9293991 '88188 Graham Wells' sold for 21533093
house 7880348 '7881 Brannon Island' sold for 21019969
house 9488312 '2482 Thompson Creek' sold for 27683384
house 8601789 '1017 Maggio Light' sold for 18820923
house 8049393 '5451 Nona Orchard' sold for 1600942
house 9619973 '049 Kshlerin Ranch' sold for 19412230
house 7938466 '9609 Grimes Views' sold for 1362542
house 8164236 '0131 Adella Estates' sold for 15405816
house 9358716 '063 Meggie Forges' sold for 20179924
house 9366483 '5773 Letitia Lights' sold for 4628560
house 7481542 '9207 Wyman Circle' sold for 26424023
house 8939112 '7050 Schimmel Turnpike' sold for 19804626
house 8617435 '0590 Heller Meadow' sold for 25766295
house 8163964 '70513 Monique Pass' sold for 5055198
house 7783192 '5060 Hazel Union' sold for 18420933
house 8672788 '417 Bogan Alley' sold for 13679047
house 9287285 '9703 Nikolas Isle' sold for 14603768
house 9728880 '12734 McDermott Loop' sold for 16882294
house 8401115 '36724 Metz Corner' sold for 1458648
house 9264692 '5848 Rowe Pass' sold for 20303692
house 9195476 '46135 Gislason Village' sold for 21947225
house 7783835 '835 Reichel Parks' sold for 12205578
house 7599510 '988 Torphy Islands' sold for 17144435
house 8725643 '46924 Vidal Mission' sold for 13891967
house 9477875 '54715 Antone Ports' sold for 13441760
house 7630250 '740 Francisco Springs' sold for 22557790
house 8736517 '9574 Terrance Islands' sold for 14012782
house 8981217 '0649 Nils Garden' sold for 22578805
house 8935625 '2707 Katharina Lock' sold for 1345953
house 8794415 '377 Rempel Street' sold for 20231621
house 8846439 '3466 Geovanni Mountains' sold for 10751685
house 8743034 '98647 Howell Flats' sold for 23142130
house 8764512 '949 Schaefer Forges' sold for 23509418
house 9192746 '888 Americo Lock' sold for 3097577
house 8411944 '5355 Rogahn Vista' sold for 9443914
house 8715485 '92262 Dorthy Shores' sold for 1759027
house 8897726 '358 Braun Fields' sold for 21717342
house 8714480 '79013 Gislason Glens' sold for 12309275
house 8232057 '6973 Rohan Path' sold for 2762788
house 8864247 '1488 Walter Fords' sold for 18811899
house 9975064 '81726 Kali Islands' sold for 12470665
house 7533182 '0492 Eladio Drives' sold for 12793276
house 7885508 '30639 Waino Junction' sold for 21470919
house 9785357 '1298 Tess Orchard' sold for 14054417
house 9707448 '595 Beatty Ports' sold for 3823786
house 7439424 '597 Kuphal Burg' sold for 16451930
house 8098126 '35476 Rolfson Brook' sold for 8789054
house 7828084 '6211 Roscoe Tunnel' sold for 5166695
house 8461923 '7505 Lynch Camp' sold for 20797231
house 7497567 '06749 Hamill Row' sold for 23182239
house 9779944 '086 Hank Plaza' sold for 23844961
house 8875052 '68682 Ramona Roads' sold for 3305548
house 7834037 '983 Fahey Fall' sold for 19929306
house 7752993 '63973 King Rue' sold for 2560526
house 9703341 '914 Blaise Pines' sold for 7903798
house 7906284 '6719 Murphy Plaza' sold for 28813433
house 8392687 '42672 Kelsi Point' sold for 29656728
house 8732452 '766 Harris Trafficway' sold for 20858446
house 7502979 '82294 Lea Lake' sold for 17777807
house 7942075 '7295 Stroman Landing' sold for 18663197
house 9843705 '731 Tamia Manor' sold for 3448104
house 7638776 '48314 Philip Road' sold for 16904515
house 7537413 '25223 Goodwin Ville' sold for 19181106
house 8176645 '8698 Aaron Corners' sold for 22652234
house 7817099 '8069 Marley Springs' sold for 11659843
house 9377317 '1004 Wyman Rapid' sold for 28216471
house 8945211 '0392 Schiller Point' sold for 18414501
house 7761661 '174 Isac Cape' sold for 29497768
house 8161356 '9165 Doyle Mountain' sold for 1455089
house 8928353 '18846 Swift Terrace' sold for 22328340
house 8861220 '5235 Hilpert Center' sold for 15490280
house 8069298 '61989 Kelsie Knoll' sold for 10383169
house 8781237 '9197 Gibson Ford' sold for 15768662
house 7454559 '1018 Charlotte Ranch' sold for 1804790
house 7807483 '1796 Leuschke Burg' sold for 13537115
house 9716731 '4141 O'Connell Ridge' sold for 4218682
house 8474786 '220 Ashtyn Plain' sold for 1647631
house 7642071 '473 Toni Village' sold for 6597794
house 7826139 '04427 Armstrong Turnpike' sold for 15654969
house 8535509 '0123 Aglae Manor' sold for 26222140
house 8349349 '53870 Evans Islands' sold for 13917688
house 7889429 '42428 Bogan Ports' sold for 9213948
house 8819129 '338 Candido Turnpike' sold for 5986173
house 8908674 '9622 Lakin Keys' sold for 12392547
house 9077406 '81890 Caitlyn Drive' sold for 5215325
house 7606760 '7377 Ashley Plains' sold for 15446129
house 9342858 '093 Aiyana Passage' sold for 6069388
house 8702778 '4112 Turcotte Alley' sold for 27333261
house 7608785 '99554 Hagenes Inlet' sold for 25967636
house 7870125 '2275 Glover Pass' sold for 28714704
house 8281425 '5583 Sauer Extensions' sold for 2604994
house 8666952 '7755 Bashirian Drive' sold for 3906196
house 8289549 '124 Gerard Ways' sold for 3243145
house 9534037 '894 Greenholt Square' sold for 21220341
house 9994993 '7537 Ortiz Ridges' sold for 22574989
house 7422835 '43975 Eichmann Circles' sold for 10206714
house 9971613 '708 Ruth Drive' sold for 7466779
house 8146910 '09622 Berge Oval' sold for 22768874
house 9772568 '22971 Hettinger Club' sold for 4094696
house 7647838 '21188 Viviane Courts' sold for 3181317
house 9378434 '991 Luisa Loaf' sold for 6597634
house 8478988 '809 Cruickshank Meadow' sold for 15974998
house 9519184 '8183 Nicolas Flats' sold for 11110229
house 8582831 '86083 Bins Lake' sold for 6823659
house 8924352 '80730 Block Village' sold for 18678200
house 9718456 '459 Hessel Way' sold for 10558410
house 8017739 '283 Emmerich Shoal' sold for 18452887
house 9123697 '64549 Vandervort Cliffs' sold for 7281866
house 9579782 '786 Vada Plains' sold for 7719803
house 8991025 '652 Keyon Islands' sold for 21243329
house 7733820 '35095 Nella Estate' sold for 22093026
house 7818100 '761 Aracely Causeway' sold for 14557601
house 8023887 '3454 Weston Rue' sold for 21330697
house 8392604 '3063 Bednar Stravenue' sold for 3650092
house 7450054 '073 Lilian Place' sold for 5402707
house 9182100 '4828 Hirthe Trail' sold for 29921570
house 9166314 '8379 Glover Wall' sold for 24823280
house 9384262 '633 Ebert Keys' sold for 28191067
house 9939906 '218 Gorczany Shores' sold for 22010873
house 8922832 '2482 Gilberto Grove' sold for 12995162
house 7508511 '4519 Rachael Wall' sold for 13208126
house 7409139 '22222 Konopelski Brooks' sold for 16839893
house 9147891 '6215 Brakus Port' sold for 16023082
house 7970811 '21368 Euna Expressway' sold for 1735083
house 8339985 '15139 Gretchen Plaza' sold for 12523894
house 8933688 '197 Jacynthe Route' sold for 29510380
house 8331752 '083 Roman Glen' sold for 28694680
house 8398126 '04930 Jacobs Meadows' sold for 14032957
house 7565277 '3322 Rutherford Estates' sold for 21184695
house 8440297 '12219 Moses Ports' sold for 13058211
house 9914419 '54847 Wintheiser Courts' sold for 13267846
house 9965961 '8206 Corine Square' sold for 6001387
house 8269495 '0261 Jadon Squares' sold for 10985176
house 9771959 '97925 Howe Islands' sold for 21177651
house 7424428 '799 Columbus Forest' sold for 27005167
house 7705021 '682 Hegmann Track' sold for 29948601
house 8265301 '188 Conn Path' sold for 25378930
house 7990046 '389 Johnson Shores' sold for 1310813
house 8798611 '8626 O'Connell Wells' sold for 9037303
house 7901449 '591 Fay Via' sold for 27853205
house 8575628 '48225 Cletus Place' sold for 15054765
house 7569840 '399 Anabel Track' sold for 18636109
house 7866514 '8018 Lockman Green' sold for 18047596
house 9849977 '75415 Myles Knolls' sold for 9648241
house 9908052 '1297 Lulu Estate' sold for 9286856
house 7681533 '804 Norberto Harbors' sold for 21881192
house 7655389 '7468 Sonya Motorway' sold for 19808182
house 9316136 '6217 Geraldine Hills' sold for 7852456
house 8432575 '3581 Ethelyn Locks' sold for 3147960
house 8640033 '5320 Saul Via' sold for 16532186
house 8322239 '9360 Haven Burg' sold for 9750889
house 8733646 '57953 Otha Park' sold for 7730205
house 7804263 '609 George Mountains' sold for 2019445
house 7941054 '77515 Parker Station' sold for 27604103
house 7793076 '649 Grayce Summit' sold for 29635774
house 9128910 '5012 Labadie Point' sold for 17074180
house 8955231 '48777 Grady View' sold for 22924301
house 7582915 '913 Hane Wall' sold for 24418217
house 7421681 '06145 Luettgen Park' sold for 25247988
house 7546344 '5365 Rey Drive' sold for 11523397
house 8919998 '2062 Marcelina Light' sold for 19191409
house 8714853 '0554 Jamir Village' sold for 13038039
house 7857752 '71663 Hilpert Skyway' sold for 22385436
house 9009991 '4986 Bette Lock' sold for 23188912
house 9769203 '44248 Sammie Parkway' sold for 22647018
house 9740569 '0138 Hobart Drives' sold for 5243833
house 9922321 '8074 Nicholas Plaza' sold for 9951630
house 9373225 '052 Sanford Island' sold for 4160980
house 7754971 '38762 Roxanne Skyway' sold for 8859540
house 8004173 '180 Hammes Rest' sold for 10042201
house 9312136 '5339 Borer Junction' sold for 25328584
house 7654492 '402 Lynn Fork' sold for 13161835
house 9206887 '6348 Oma Square' sold for 9909898
house 8589837 '597 Anibal Dale' sold for 21520373
house 9980617 '97313 Russell Motorway' sold for 28368605
house 9932658 '68176 Flatley Mountain' sold for 6772064
house 7853096 '99019 Reynold Harbors' sold for 9129433
house 9831141 '933 Raynor Creek' sold for 25651953
house 9695485 '4177 Williamson Lake' sold for 20882769
house 9283130 '581 Lehner Courts' sold for 5823046
house 9129933 '5680 Landen Path' sold for 13083431
house 9058370 '00012 Runte Lodge' sold for 11852944
house 7450016 '45227 Newell Circles' sold for 9709399
house 9115578 '80469 Berta Gateway' sold for 10540056
house 9792111 '692 Elnora Stravenue' sold for 1136654
house 9151815 '083 Milo Trace' sold for 7112459
house 8555233 '998 Vergie Mountain' sold for 13006515
house 8419462 '2851 Zboncak Stream' sold for 22137971
house 7485677 '0663 Rex Station' sold for 8257713
house 7776407 '2894 Aylin Field' sold for 18734961
house 7543359 '283 Mackenzie Ville' sold for 11308437
house 7676293 '19572 Mann Ways' sold for 1098842
house 8231295 '606 Gusikowski Knoll' sold for 11516021
house 8625376 '803 Garrett Road' sold for 4951712
house 9704595 '39842 Botsford Estate' sold for 21329309
house 9829343 '66992 Deshawn Corner' sold for 18288980
house 9636595 '655 Mraz Stream' sold for 6695753
house 7820207 '8362 Kirlin Bridge' sold for 25793417
house 9047579 '15543 Tyreek Lodge' sold for 23579491
house 9036131 '8231 Block Village' sold for 26369882
house 8748326 '9130 Langworth Trafficway' sold for 20216842
house 7785723 '9257 Braun Forest' sold for 14930829
house 7438461 '438 Jacobson Forge' sold for 7419421
house 8169561 '49845 Cooper Squares' sold for 4225091
house 8470874 '1635 Rosenbaum Mountains' sold for 21109376
house 8482787 '939 Green Mountain' sold for 28575627
house 8278450 '44007 Murphy Squares' sold for 8595398
house 7813885 '5058 Barrows Expressway' sold for 29745682
house 8722042 '153 Jacobs Mission' sold for 2596097
house 8908135 '008 Nelson Summit' sold for 15934414
house 9715176 '83121 Elliott Shoals' sold for 23461224
house 8804448 '15669 Jedidiah Knolls' sold for 7503162
house 8249393 '919 Hilpert Groves' sold for 7080913
house 9669301 '234 Schmitt Rest' sold for 2751132
house 7701714 '609 Jerod Club' sold for 13269031
house 9070797 '621 Cummerata Terrace' sold for 3882738
house 9720271 '7545 Dereck Corner' sold for 15413793
house 8759220 '56061 Karson Loaf' sold for 10165036
house 8388491 '5658 Jordan Trail' sold for 22158211
house 7534952 '10528 White Curve' sold for 28292693
house 8005307 '2094 Ellsworth Lodge' sold for 24420761
house 7593986 '9145 Cartwright Cape' sold for 19323474
house 8825263 '46968 Crona Drives' sold for 25845169
house 8050097 '250 Erling Village' sold for 4508850
house 9921744 '05904 Stroman Heights' sold for 6580775
house 9962651 '81594 Bogisich Squares' sold for 12472471
house 8043529 '602 Jakob Cliffs' sold for 23467356
house 8100837 '174 Ezra Well' sold for 19288176
house 9024912 '673 Wyman Center' sold for 17936046
house 9102876 '89792 Florida Ranch' sold for 21633700
house 9752585 '5192 Crystal Wall' sold for 22192834
house 9300392 '335 Gaetano Locks' sold for 1374027
house 7703064 '3243 Irwin Wall' sold for 23194318
house 8764131 '78623 Koelpin Mountains' sold for 27175708
house 8039006 '79765 Dicki Estate' sold for 17506863
house 9149667 '848 Kunde Squares' sold for 23352129
house 9105023 '741 O'Hara Squares' sold for 5451731
house 9512131 '9109 Kiarra Forges' sold for 5906469
house 9197171 '39366 Homenick Stream' sold for 29022768
house 8525404 '541 Smith Club' sold for 8142798
house 8237342 '79611 Coralie Road' sold for 27698939
house 9735341 '0948 Tanya Drive' sold for 13101954
house 7701672 '68297 Boyer Ranch' sold for 17071908
house 8728440 '0398 Icie Mission' sold for 29426907
house 9186055 '576 Bette Burg' sold for 13285361
house 8660211 '4364 Rice Underpass' sold for 4837292
house 9159550 '5949 Zemlak Valleys' sold for 19519734
house 7492468 '2236 Julie Street' sold for 19166688
house 9072933 '38839 Jennifer Plains' sold for 3211868
house 9710350 '550 Marcelle Wall' sold for 16899175
house 9554951 '50860 Wiegand Overpass' sold for 15598113
house 8761157 '433 Bernhard Summit' sold for 4402829
house 9657918 '1315 Armstrong Canyon' sold for 29006304
house 8843855 '04103 Rohan Extension' sold for 5294062
house 9941957 '756 Jimmy Cliff' sold for 10014958
house 9959275 '93674 Spinka Manors' sold for 29457679
house 8311568 '10254 Hermann Prairie' sold for 14411208
house 7756891 '7542 Rick Mission' sold for 2152791
house 9451367 '39582 Dexter Walks' sold for 9465833
house 8236586 '833 Erika Fall' sold for 5594887
house 9305096 '291 Antonina Extension' sold for 21505827
house 8348841 '5862 Paucek Knoll' sold for 9702363
house 7810525 '472 Dimitri Haven' sold for 18439907
house 7475383 '217 Ashlynn Roads' sold for 8656870
house 8419125 '5420 Greenholt Parkway' sold for 29330855
house 9756854 '572 Wallace Well' sold for 26476082
house 8944128 '38462 Bailey Vista' sold for 12562663
house 9079332 '9621 Jamaal Glen' sold for 22744947
house 7740551 '46774 Sidney Mall' sold for 3513446
house 8426572 '6352 Jeramy Cliff' sold for 13110259
house 7524537 '388 Lisandro Isle' sold for 28023751
house 8490947 '480 Nikolaus Extension' sold for 17414840
house 8470859 '28864 Edmond Shore' sold for 22743444
house 9682233 '1544 Ruben Forge' sold for 25152677
house 7747888 '14722 Blake Loop' sold for 17631851
house 8085935 '496 Yundt Island' sold for 27038168
house 9635396 '5908 Jamarcus Fort' sold for 2867314
house 8355064 '64835 Fabiola Spurs' sold for 8637310
house 9883422 '3599 Ernser Flats' sold for 10058870
house 8856553 '580 MacGyver Hollow' sold for 21928741
house 8872378 '62102 Gutmann Locks' sold for 24585130
house 8554859 '4754 Gilda Camp' sold for 9918134
house 9297644 '74610 April Island' sold for 11645103
house 9447402 '626 Kautzer Hill' sold for 21228414
house 8769057 '9155 Bernhard Drive' sold for 16955553
house 8713631 '5546 Deontae Causeway' sold for 3671268
house 8964367 '4113 Sawayn Villages' sold for 16972568
house 8333637 '4854 Gayle Fort' sold for 28036396
house 7521721 '5896 Buckridge Shoals' sold for 26454547
house 8209337 '9263 Karianne Place' sold for 26246142
house 7732692 '8723 Shyann Extension' sold for 21952053
house 7608383 '908 Estell Villages' sold for 29810754
house 9667325 '433 Bode Vista' sold for 14672915
house 8583954 '4669 Pfannerstill Valleys' sold for 5188079
house 8185851 '05583 Judd Camp' sold for 24161577
house 8635685 '3805 Maybelle Court' sold for 8379978
house 9067489 '463 Keebler Meadow' sold for 29565794
house 9744482 '309 Judah Harbors' sold for 21999522
house 8483116 '03683 Jakubowski Throughway' sold for 23214970
house 9938517 '955 Brakus Gardens' sold for 9800012
house 9928034 '76562 Lorenzo Fields' sold for 10289427
house 8211342 '31662 Swaniawski Expressway' sold for 5870842
house 8495434 '3486 Dickens Gateway' sold for 8375682
house 7853200 '2821 Alexandria Tunnel' sold for 17080842
house 8653553 '2376 Wiza Shores' sold for 7100303
house 8132597 '874 Paula Drive' sold for 17469141
house 8129314 '840 Delfina Overpass' sold for 6104682
house 9972954 '552 Bechtelar Knoll' sold for 3608309
house 7734143 '667 Cremin Via' sold for 23966897
house 7523532 '2900 Nikki Lane' sold for 9965350
house 8739732 '76763 Denesik Falls' sold for 12696474
house 9864184 '6345 Green Cove' sold for 22234565
house 8775888 '9053 Eladio Shoals' sold for 14457546
house 9747857 '176 Camren Meadow' sold for 8611075
house 9561231 '354 Marisa Centers' sold for 29252500
house 7911667 '401 Auer Roads' sold for 4227184
house 8977722 '0131 Grant Valleys' sold for 26828293
house 8932346 '1803 Abbie Island' sold for 8056972
house 8738079 '4815 Alysson Club' sold for 17488603
house 8109672 '775 Mae Wall' sold for 1087190
house 8963350 '91603 Grimes Stravenue' sold for 12729314
house 8045023 '62333 Hermann Prairie' sold for 16854727
house 8650774 '60476 Carlos Locks' sold for 26363534
house 8358183 '01276 Josie Club' sold for 5757839
house 7543890 '172 Katelin Fords' sold for 3865217
house 7540374 '61813 Orn Cliffs' sold for 16541604
house 7966346 '17183 Friesen Ways' sold for 11556757
house 7814806 '9540 Zena Bridge' sold for 22057989
house 7942119 '499 Harber Burg' sold for 7432821
house 9575533 '787 Bret Extensions' sold for 27576519
house 9337695 '2157 Champlin Extensions' sold for 27512637
house 9607981 '27608 Jennings Parkway' sold for 16548405
house 9683073 '498 Stiedemann Centers' sold for 12424143
house 8067979 '9123 Cormier Route' sold for 4744890
house 7871398 '8944 Curt Forge' sold for 20042098
house 9957281 '17257 Jamie Manor' sold for 9762826
house 9105955 '7606 Nitzsche Brooks' sold for 8447807
house 7597919 '5646 Powlowski Motorway' sold for 13163733
house 7777076 '9510 Estella Locks' sold for 23200427
house 8679222 '30958 Andre Haven' sold for 24860724
house 9036673 '540 Winifred Spring' sold for 20217823
house 7910791 '17763 Hertha Shoal' sold for 26088692
house 9535086 '275 Blick Forest' sold for 14694367
house 7917021 '1413 Dave Locks' sold for 15010570
house 7410357 '65070 Blanda Throughway' sold for 17900910
house 8571863 '20085 Schamberger Forges' sold for 12433882
house 8831647 '19312 Derek Road' sold for 28962163
house 8655815 '24029 Buckridge Prairie' sold for 25457634
house 8751686 '94606 Batz Lane' sold for 13300673
house 7459550 '904 Thompson Port' sold for 10866777
house 8653305 '3446 Mack Views' sold for 20238371
house 8655491 '0545 Shanon Turnpike' sold for 8677396
house 9031636 '918 Ruby Bypass' sold for 4055571
house 9558992 '48784 Lorenza Ways' sold for 1351365
house 9851306 '681 Walker Neck' sold for 11230809
house 9669417 '76492 Jacobi Key' sold for 14905055
house 9318992 '39286 Victoria Pine' sold for 6477238
house 9321901 '736 Gislason Gateway' sold for 16327843
house 9485366 '2833 Lambert Park' sold for 3068372
house 8245327 '317 Dock Garden' sold for 4209766
house 8514247 '45364 Cullen Lane' sold for 24208725
house 8719867 '3891 Edwardo Shores' sold for 17699283
house 7677732 '22471 Zieme Estate' sold for 646372
house 8375686 '90035 Blick Light' sold for 7817351
house 7632150 '999 Haylie Stravenue' sold for 9279448
house 7740681 '6949 German Lakes' sold for 18687662
house 9333216 '191 Farrell Mountain' sold for 24872987
house 7550592 '8533 Eleonore Junctions' sold for 14783958
house 8954209 '68899 Leffler Groves' sold for 25550470
house 7675484 '04877 Klein Crossroad' sold for 29189670
house 9434008 '344 Austyn Lodge' sold for 8219715
house 9847233 '2929 Avis Key' sold for 6561278
house 7939561 '8852 Kuvalis Islands' sold for 16039981
house 9217901 '619 Wyman Mews' sold for 27155929
house 9661824 '4020 Hintz Summit' sold for 1819260
house 9156871 '1854 Erdman Fords' sold for 5974671
house 7735673 '17974 Janis Walk' sold for 7458834
house 7993233 '16045 Pedro Via' sold for 28404836
house 7821506 '0746 Nicolas Mall' sold for 27507175
house 7413959 '01399 Schinner Ports' sold for 1502380
house 7497699 '0692 Forest Junctions' sold for 17880699
house 7633938 '6539 Kunde Burgs' sold for 13890448
house 9349238 '18003 Ross Pine' sold for 3049532
house 8014749 '19459 Herman Trace' sold for 13215980
house 9862880 '69996 Michele Path' sold for 18301098
house 9110371 '1235 Bosco Cove' sold for 20123056
house 8250804 '512 Destini Branch' sold for 5126382
house 7487271 '25520 Marielle Ferry' sold for 5544336
house 8612415 '04090 Pagac Ways' sold for 21827491
house 8579086 '398 Trantow Avenue' sold for 4751092
house 9739945 '390 Keeling Well' sold for 14879748
house 7711550 '196 Tate Fall' sold for 29603874
house 8621156 '359 Joy Crest' sold for 25223730
house 8975676 '0168 Roxane Burg' sold for 4341597
house 9405170 '549 Alene Turnpike' sold for 2903367
Report @ 10:39:34(-0800) 2019-03-08
Elapsed time: 42 seconds
  Scenarios launched:  6461
  Scenarios completed: 529
  Requests completed:  529
  RPS sent: 646.1
  Request latency:
    min: 2457.6
    max: 9120.9
    median: 6471.5
    p95: 8775.4
